hindi,english
नया मद (_ w) ,Ne _ w Item
नया पृथक्कारक (_ S) ,New _ Separator
नीचे जायें,Move Down
ऊपर जायें,Move Up
नाम,Name:
मूल में वापस करें (_ R) ,_ Revert to Original
मद (_ e): ,It _ ems:
बदलाव वापस लें? ,Revert Changes?
सारे मेनू मूल जमावट में वापस करें? ,Revert all menus to original settings?
अंजूटा,Anjuta IDE
अंजूटा विकास स्ट्डियो,Develop software in an integrated development environment
अंजूटा विकास स्ट्डियो,Integrated Development Environment
#-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#व = द्धि (ऊंचाई) #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#बढ़ाए,Western
इटालिक,Baltic
ग्रीक,Greek
#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#टर्कीश #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#तुर्कीष,Turkish
गणना,Celtic
रोमानियन,Romanian
मोड,Unicode
रोमानियन,Armenian
रूसी,Cyrillic / Russian
कोरियन,Korean
जर्मन,Georgian
रिमोट कड़ियों को नहीं चला सकता,"Cannot execute command: ""% s"""
कड़ी हटा दो,execvp failed
अंजूटा,Anjuta Shell
लोड,Load
अनियत चौड़ाई,Available Plugins
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#वरीयता #-#-#-#-#gnome-applets. gnome-2-2. hi. po (gnome-applets 2. x) #-#-#-#-#वरीयता #-#-#-#-#gnome-media. HEAD. hi. po (gnome-media 2.0) #-#-#-#-#वरियताएँ #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#प्राथमिकताएँ,Preferred plugins
प्लगइंस,Plugins
अंजूटा,Select a plugin
फाइल नष्ट करें,Remember this selection
0 फाइल्स,Profiles
अनियत चौड़ाई,Available plugins
अंजूटा,Activated plugins
उपकरण पर लिखने में असमर्थ% s,Currently activated plugins
अंजूटा,Anjuta Status
Icon:% s,Anjuta status to use in loading and unloading of plugins
लोड,Loaded:
... ,...
अंजूटा दस्तावेज मैनेजर,Plugin Manager
प्रोजेक्ट प्लान,Profile Name
छैतिज पैमाना,Profile Plugins
प्रोजेक्ट लोड करने में असमर्थ,Failed to read '% s':% s
आक्टेल अनुमतियां,No read permission for:% s
